Organism Name	Organism Taxonomic ID	Assembly Accession	Assembly Name	Assembly Release Date	Assembly BioSample Accession	Assembly BioProject Accession	Assembly BioProject Lineage Parent Accessions	Source Database
Abrostola tripartita	938171	GCA_905340225.1	ilAbrTrip1.1	2021-03-25	SAMEA7520667	PRJEB43728	PRJEB43740	SOURCE_DATABASE_GENBANK
Abrostola tripartita	938171	GCA_905340255.1	ilAbrTrip1.1 alternate haplotype	2021-03-25	SAMEA7520667	PRJEB43729	PRJEB43740	SOURCE_DATABASE_GENBANK
Abrostola triplasia	254365	GCA_946251915.1	ilAbrTril1.1	2022-09-12	SAMEA10979163	PRJEB55438	PRJEB55021	SOURCE_DATABASE_GENBANK
Abrostola triplasia	254365	GCA_946251925.1	ilAbrTril1.1 alternate haplotype	2022-09-12	SAMEA10979163	PRJEB55437	PRJEB55021	SOURCE_DATABASE_GENBANK
Acanthis flammea	54769	GCA_045784905.1	ASM4578490v1	2024-12-06	SAMN44603896	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Acanthisitta chloris	57068	GCA_016880875.1	bAcaChl1.alt	2021-02-10	SAMN16442762	PRJNA561955	PRJNA562166	SOURCE_DATABASE_GENBANK
Acanthisitta chloris	57068	GCA_016904835.2	bAcaChl1.pri	2026-01-23	SAMN12621378	PRJNA561954	PRJNA562166	SOURCE_DATABASE_GENBANK
Acanthopagrus latus	8177	GCA_904848175.1	fAcaLat1.1 alternate haplotype	2020-10-12	SAMN16236878	PRJEB40701	PRJEB40702	SOURCE_DATABASE_GENBANK
Acanthopagrus latus	8177	GCA_904848185.1	fAcaLat1.1	2020-10-12	SAMN16236878	PRJEB40700	PRJEB40702	SOURCE_DATABASE_GENBANK
Acanthosoma haemorrhoidale	483950	GCA_930367205.1	ihAcaHaem1.1	2022-02-13	SAMEA8563710	PRJEB50843	PRJEB47321	SOURCE_DATABASE_GENBANK
Acanthosoma haemorrhoidale	483950	GCA_930374635.1	ihAcaHaem1.1 alternate haplotype	2022-02-13	SAMEA8563710	PRJEB50844	PRJEB47321	SOURCE_DATABASE_GENBANK
Acentria ephemerella	1666818	GCA_943193645.1	ilAceEphe1.1	2022-06-10	SAMEA10978991	PRJEB53002	PRJEB52477	SOURCE_DATABASE_GENBANK
Acentria ephemerella	1666818	GCA_943193655.1	ilAceEphe1.1 alternate haplotype	2022-06-10	SAMEA10978991	PRJEB53001	PRJEB52477	SOURCE_DATABASE_GENBANK
Acer campestre	66205	GCA_954870605.1	drAceCamp1.1	2023-07-14	SAMEA7522523	PRJEB63240	PRJEB57270	SOURCE_DATABASE_GENBANK
Acer campestre	66205	GCA_954871055.1	drAceCamp1.1 alternate haplotype	2023-07-16	SAMEA7522523	PRJEB63239	PRJEB57270	SOURCE_DATABASE_GENBANK
Acheta domesticus	6997	GCA_031308135.1	ado_dt_MfTpo_fix	2023-09-08	SAMN18114555	PRJNA706033	PRJNA555319	SOURCE_DATABASE_GENBANK
Achipteria coleoptrata	229769	GCA_034683705.1	ASM3468370v1	2023-12-27	SAMN25040737	PRJNA758215	PRJNA706923	SOURCE_DATABASE_GENBANK
Achipteria nitens	2926718	GCA_034698525.1	ASM3469852v1	2023-12-27	SAMN25040738	PRJNA758215	PRJNA706923	SOURCE_DATABASE_GENBANK
Achlya flavicornis	753485	GCA_947623365.1	ilAchFlav2.1	2022-12-19	SAMEA110451568	PRJEB58322	PRJEB56908	SOURCE_DATABASE_GENBANK
Achlya flavicornis	753485	GCA_947623295.1	ilAchFlav2.1 alternate haplotype	2022-12-19	SAMEA110451568	PRJEB58323	PRJEB56908	SOURCE_DATABASE_GENBANK
Acholoe squamosa	2922911	GCA_949317995.1	wpAchSqua1.1	2023-04-04	SAMEA13854387	PRJEB60118	PRJEB59386	SOURCE_DATABASE_GENBANK
Acholoe squamosa	2922911	GCA_949316145.1	wpAchSqua1.1 alternate haplotype	2023-04-09	SAMEA13854387	PRJEB60119	PRJEB59386	SOURCE_DATABASE_GENBANK
Acipenser naccarii	42330	GCA_055691345.1	ASM5569134v1	2026-03-05	SAMN48349190	PRJNA1267827	PRJNA712951,PRJNA1270038	SOURCE_DATABASE_GENBANK
Acipenser naccarii	42330	GCA_055691255.1	ASM5569125v1	2026-03-05	SAMN48349190	PRJNA1267830	PRJNA712951,PRJNA1270038	SOURCE_DATABASE_GENBANK
Acipenser naccarii	42330	GCA_055691285.1	ASM5569128v1	2026-03-05	SAMN48349190	PRJNA1267829	PRJNA712951,PRJNA1270038	SOURCE_DATABASE_GENBANK
Acipenser naccarii	42330	GCA_055691465.1	ASM5569146v1	2026-03-05	SAMN48349190	PRJNA1267831	PRJNA712951,PRJNA1270038	SOURCE_DATABASE_GENBANK
Acipenser ruthenus	7906	GCA_902713425.2	fAciRut3.2 maternal haplotype	2022-02-02	SAMEA5572864	PRJEB35912	PRJEB35914	SOURCE_DATABASE_GENBANK
Acipenser ruthenus	7906	GCA_902713435.2	fAciRut3.2 paternal haplotype	2022-02-01	SAMEA5572864	PRJEB35913	PRJEB35914	SOURCE_DATABASE_GENBANK
Acleris cristana	758705	GCA_948252455.1	ilAclCris2.1	2023-01-18	SAMEA8603216	PRJEB58976	PRJEB58659	SOURCE_DATABASE_GENBANK
Acleris cristana	758705	GCA_948250105.1	ilAclCris2.1 alternate haplotype	2023-01-18	SAMEA8603216	PRJEB58975	PRJEB58659	SOURCE_DATABASE_GENBANK
Acleris emargana	758706	GCA_927399475.2	ilAclEmar1.2	2022-10-25	SAMEA7746613	PRJEB49998	PRJEB48047	SOURCE_DATABASE_GENBANK
Acleris emargana	758706	GCA_927399445.1	ilAclEmar1.1 alternate haplotype	2022-01-21	SAMEA7746613	PRJEB49997	PRJEB48047	SOURCE_DATABASE_GENBANK
Acleris holmiana	572802	GCA_949316455.1	ilAclHolm1.1	2023-04-08	SAMEA7701499	PRJEB60125	PRJEB58938	SOURCE_DATABASE_GENBANK
Acleris holmiana	572802	GCA_949316255.1	ilAclHolm1.1 alternate haplotype	2023-04-08	SAMEA7701499	PRJEB60124	PRJEB58938	SOURCE_DATABASE_GENBANK
Acleris literana	1100899	GCA_946894065.1	ilAclLite1.1	2022-09-22	SAMEA10978974	PRJEB56016	PRJEB55019	SOURCE_DATABASE_GENBANK
Acleris literana	1100899	GCA_946894075.1	ilAclLite1.1 alternate haplotype	2022-09-22	SAMEA10978974	PRJEB56017	PRJEB55019	SOURCE_DATABASE_GENBANK
Acleris sparsana	758717	GCA_923062465.1	ilAclSpar1.1	2021-12-19	SAMEA8603209	PRJEB49397	PRJEB47322	SOURCE_DATABASE_GENBANK
Acleris sparsana	758717	GCA_923061745.1	ilAclSpar1.1 alternate haplotype	2021-12-18	SAMEA8603209	PRJEB49396	PRJEB47322	SOURCE_DATABASE_GENBANK
Acmispon strigosus	1240363	GCA_030819835.1	drAcmStri1.0.hap2	2023-08-18	SAMN35734731	PRJNA985257	PRJNA766245	SOURCE_DATABASE_GENBANK
Acmispon strigosus	1240363	GCA_030819995.1	drAcmStri1.0.hap1	2023-08-18	SAMN35734731	PRJNA985258	PRJNA766245	SOURCE_DATABASE_GENBANK
Acomys cahirinus	10068	GCA_004027535.1	AcoCah_v1_BIUU	2019-01-16	SAMN07678032	PRJNA399339	PRJNA312960	SOURCE_DATABASE_GENBANK
Acomys russatus	60746	GCA_903995435.1	mAcoRus1.1	2020-08-21	SAMEA104026431	PRJEB39768	PRJEB39769	SOURCE_DATABASE_GENBANK
Acridotheres tristis	279927	GCA_027559525.1	bAcrTri1.alt	2023-01-03	SAMN28454388	PRJNA839506	PRJNA922139	SOURCE_DATABASE_GENBANK
Acridotheres tristis	279927	GCA_027559615.1	bAcrTri1.pri	2023-01-09	SAMN28454388	PRJNA839507	PRJNA922139	SOURCE_DATABASE_GENBANK
Acrobasis consociella	1100900	GCA_963555685.1	ilAcrCons1.1	2023-10-05	SAMEA7701461	PRJEB66506	PRJEB65197	SOURCE_DATABASE_GENBANK
Acrobasis consociella	1100900	GCA_963555645.1	ilAcrCons1.1 alternate haplotype	2023-10-05	SAMEA7701461	PRJEB66505	PRJEB65197	SOURCE_DATABASE_GENBANK
Acrobasis suavella	1857951	GCA_943193695.1	ilAcrSuav1.1	2022-06-10	SAMEA10979088	PRJEB53008	PRJEB52024	SOURCE_DATABASE_GENBANK
Acrobasis suavella	1857951	GCA_943193685.1	ilAcrSuav1.1 alternate haplotype	2022-06-10	SAMEA10979088	PRJEB53007	PRJEB52024	SOURCE_DATABASE_GENBANK
Acrobeloides cf. buchneri Gr-Nem-00862	2926751	GCA_034700925.1	ASM3470092v1	2023-12-27	SAMN25040739	PRJNA758215	PRJNA706923	SOURCE_DATABASE_GENBANK
Acrobeloides nanus	290746	GCA_034694745.1	ASM3469474v1	2023-12-27	SAMN25040740	PRJNA758215	PRJNA706923	SOURCE_DATABASE_GENBANK
Acrobeloides obliquus	2926719	GCA_034698545.1	ASM3469854v1	2023-12-27	SAMN25040741	PRJNA758215	PRJNA706923	SOURCE_DATABASE_GENBANK
Acrobeloides thornei	96599	GCA_034699885.1	ASM3469988v1	2023-12-27	SAMN25040742	PRJNA758215	PRJNA706923	SOURCE_DATABASE_GENBANK
Acrocephalus arundinaceus	39621	GCA_013398685.1	ASM1339868v1	2020-07-10	SAMN12254005	PRJNA545868	PRJNA533106	SOURCE_DATABASE_GENBANK
Acrocephalus dumetorum	68474	GCA_045788515.1	ASM4578851v1	2024-12-06	SAMN44603781	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Acrocephalus gracilirostris	68482	GCA_055770535.1	ASM5577053v1	2026-03-10	SAMN52663862	PRJNA1307197	PRJNA489244	SOURCE_DATABASE_GENBANK
Acrocephalus melanopogon	68470	GCA_045783595.1	ASM4578359v1	2024-12-06	SAMN44603956	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Acrocephalus paludicola	68471	GCA_045787745.1	ASM4578774v1	2024-12-06	SAMN44603817	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Acrocephalus schoenobaenus	52609	GCA_045838425.1	ASM4583842v1	2024-12-09	SAMN44603766	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Acrocephalus scirpaceus	48156	GCA_045782795.1	ASM4578279v1	2024-12-06	SAMN44604080	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Acrocera orbiculus	210248	GCA_947359355.1	idAcrOrbc1.1	2022-12-03	SAMEA7701562	PRJEB57603	PRJEB55974	SOURCE_DATABASE_GENBANK
Acrocera orbiculus	210248	GCA_947359395.1	idAcrOrbc1.1 alternate haplotype	2022-11-27	SAMEA7701562	PRJEB57604	PRJEB55974	SOURCE_DATABASE_GENBANK
Acronicta aceris	987859	GCA_910591435.1	ilAcrAcer1.1	2021-07-06	SAMEA7701532	PRJEB45450	PRJEB45197	SOURCE_DATABASE_GENBANK
Acronicta aceris	987859	GCA_910591495.2	ilAcrAcer1.2 alternate haplotype	2022-01-24	SAMEA7701532	PRJEB45451	PRJEB45197	SOURCE_DATABASE_GENBANK
Acronicta leporina	987862	GCA_947256265.1	ilAcrLepo1.1	2022-11-05	SAMEA10979192	PRJEB57243	PRJEB56406	SOURCE_DATABASE_GENBANK
Acronicta leporina	987862	GCA_947256475.1	ilAcrLepo1.1 alternate haplotype	2022-11-05	SAMEA10979192	PRJEB57242	PRJEB56406	SOURCE_DATABASE_GENBANK
Acronicta psi	987865	GCA_946251955.1	ilAcrPsix1.1	2022-09-12	SAMEA11025022	PRJEB55458	PRJEB55133	SOURCE_DATABASE_GENBANK
Acronicta psi	987865	GCA_946251945.1	ilAcrPsix1.1 alternate haplotype	2022-09-12	SAMEA11025022	PRJEB55459	PRJEB55133	SOURCE_DATABASE_GENBANK
Acropora cervicornis	6130	GCA_037043185.1	Acerv_M5	2024-03-06	SAMN09283696	PRJNA473816	PRJNA649812	SOURCE_DATABASE_GENBANK
Acropora cervicornis	6130	GCA_041430625.1	Acerv_M5_2	2024-08-23	SAMN35713815	PRJNA473816	PRJNA649812	SOURCE_DATABASE_GENBANK
Acropora palmata	6131	GCA_025960835.2	Acropora palmata Hi-C genome assembly v3	2024-03-07	SAMN09283722	PRJNA473816	PRJNA649812	SOURCE_DATABASE_GENBANK
Actinemys marmorata	335395	GCA_022086475.1	rActMar1.p	2022-02-09	SAMN21436765	PRJNA778210	PRJNA777133,PRJNA782591	SOURCE_DATABASE_GENBANK
Actinemys marmorata	335395	GCA_022086895.1	rActMar1.a	2022-02-08	SAMN21436765	PRJNA778209	PRJNA777133,PRJNA782591	SOURCE_DATABASE_GENBANK
Actinemys pallida	1485138	GCA_023634205.1	rActPal1.0.p	2022-06-01	SAMN25872472	PRJNA810504	PRJNA808323	SOURCE_DATABASE_GENBANK
Actinemys pallida	1485138	GCA_023634275.1	rActPal1.0.a	2022-06-01	SAMN25872472	PRJNA810503	PRJNA808323	SOURCE_DATABASE_GENBANK
Actinidia arguta var. hypoleuca	1837144	GCA_030159115.1	AAR_r2.2	2023-03-16	SAMD00513216	PRJDB13926	PRJDB13920	SOURCE_DATABASE_GENBANK
Actinidia polygama	64480	GCA_030159135.1	APO_r1.1	2023-03-16	SAMD00513217	PRJDB13926	PRJDB13920	SOURCE_DATABASE_GENBANK
Actinidia rufa	165716	GCA_030159155.1	ARU_r1.0	2023-03-16	SAMD00513218	PRJDB13926	PRJDB13920	SOURCE_DATABASE_GENBANK
Actitis hypoleucos	320702	GCA_045788345.1	ASM4578834v1	2024-12-06	SAMN44603794	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Actitis macularius	190659	GCA_045783455.1	ASM4578345v1	2024-12-06	SAMN44603978	PRJNA1153307	PRJNA489244	SOURCE_DATABASE_GENBANK
Acutogordius australiensis	3058964	GCA_030555515.1	ASM3055551v1	2023-08-07	SAMN35734730	PRJNA983812	PRJNA649812	SOURCE_DATABASE_GENBANK
Adalia bipunctata	7084	GCA_910592335.1	icAdaBipu1.1	2021-07-07	SAMEA9089055	PRJEB45686	PRJEB45127	SOURCE_DATABASE_GENBANK
Adalia bipunctata	7084	GCA_910591895.1	icAdaBipu1.1 alternate haplotype	2021-07-07	SAMEA9089055	PRJEB45687	PRJEB45127	SOURCE_DATABASE_GENBANK
Adalia decempunctata	115343	GCA_951802165.1	icAdaDece3.1	2023-05-27	SAMEA10107051	PRJEB62627	PRJEB61609	SOURCE_DATABASE_GENBANK
Adalia decempunctata	115343	GCA_951802185.1	icAdaDece3.1 alternate haplotype	2023-05-27	SAMEA10107051	PRJEB62626	PRJEB61609	SOURCE_DATABASE_GENBANK
Adelges tsugae	357502	GCA_045999825.2	ihAdeTsug3_ihAdeTsug4_p1.1	2024-12-11	SAMN45065465	PRJNA1191003	PRJNA813333	SOURCE_DATABASE_GENBANK
